=== REPORT MIGRACE: TASK ===
Datum generování: Thu Apr 16 11:14:34 CEST 2026
Čas běhu: 151 s
----------------------------------------
Celkem ke zpracování: 14364
Úspěšně zmigrováno:   13961
Přeskočeno:           0
Chyby:                403
----------------------------------------

=== DETAIL CHYB ===
ID: 13992538 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 13993743 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 13994343 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 13996151 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 13999649 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14000490 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14001115 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14001248 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14001673 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 14002012 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14002110 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14002267 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14002929 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14003045 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14003523 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14003824 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14003932 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4940
ID: 14004496 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14005512 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14005928 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 14006538 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14006807 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14007959 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14008149 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 14008319 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 14008635 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14009043 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14009428 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14009567 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14010372 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14010622 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14010741 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14010963 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14010968 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14011039 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14011159 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14011263 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14011425 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14011430 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14011719 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14012752 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14013949 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14014535 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14020529 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14020867 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14021570 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14022238 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14024454 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 14025060 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 14025877 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 14026028 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14026216 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14028523 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14030047 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 14031312 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14031457 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 14034848 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 14035789 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14037719 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 14039420 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 14039994 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 14040756 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 14041016 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 14042104 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14042776 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14043117 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 14043131 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14043423 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14043641 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14043852 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14044332 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 14045363 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 14046328 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 14051109 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 14058075 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 14058080 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 14062204 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 14067061 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14069874 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 14071168 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14071181 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4959
ID: 14071561 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
ID: 14071890 | Fáze: Mapování a zápis | Chyba: Nenalezeno mapování pro stack_fk: 4960
